Amount,Use_Chip,Merchant_City,Gender,City,State,Per_Capita_Income_Zipcode,Yearly_Income_Person,Total_Debt,FICO_Score,Num_Credit_Cards,Card_Type,Credit_Limit,Fraud,Date,Age_Group
101.19,Online,ONLINE,Male,Green Bay,WI,16801,34262,60506,846,2,Debit,21968,Yes,2010-08-05,26-35
37.14,Online,ONLINE,Female,West Palm Beach,FL,18205,37119,55010,718,5,Debit,24295,Yes,2016-03-31,51-65
29.62,Swipe,Acworth,Female,Acworth,GA,28862,58846,126806,746,3,Debit,46414,No,2007-01-30,51-65
23.25,Swipe,Rome,Female,Crown Point,IN,26168,53350,128676,685,5,Debit,24295,Yes,2018-11-05,51-65
70.98,Online,ONLINE,Male,Chattanooga,TN,18658,38041,27813,782,4,Debit,46414,Yes,2015-11-01,36-50
32.96,Swipe,Miller Place,Female,Medford,NY,27376,64829,15537,664,3,Debit,21968,No,2006-05-16,51-65
61,Swipe,Farmington,Female,Farmington,MN,28429,41513,15899,748,3,Debit,21968,No,2012-10-16,66+
26.78,Online,ONLINE,Female,Maywood,IL,15451,31505,59730,655,4,Debit,24295,Yes,2012-05-05,51-65
28.31,Online,ONLINE,Female,Miami,FL,31625,64481,114394,627,5,Debit,24295,No,2009-11-12,51-65
16.46,Swipe,Mulberry,Male,Mulberry,FL,17944,36589,86573,676,3,Debit,46414,No,2019-06-03,66+
50.42,Chip,Rome,Female,Atlanta,TX,16746,34143,49839,648,4,Debit,24295,Yes,2018-07-23,26-35
117.31,Chip,Rome,Female,Overland Park,KS,51642,84694,2149,741,7,Debit,33375,Yes,2018-05-28,66+
85.64,Swipe,Burbank,Male,Los Angeles,CA,11329,23103,63635,681,3,Debit,21968,Yes,2009-03-24,51-65
101.06,Swipe,Port au Prince,Male,Milton,PA,16935,34531,60156,703,4,Credit,12400,Yes,2010-03-05,26-35
-459,Online,ONLINE,Male,Maywood,IL,15451,22158,19101,681,5,Credit,12400,Yes,2003-06-22,66+
27.27,Swipe,Laurel Hill,Male,Laurel Hill,NC,13683,27896,42046,710,3,Debit,24295,No,2006-03-28,36-50
44.79,Swipe,Charlotte,Male,Charlotte,NC,17817,36323,65525,700,3,Debit,21968,No,2010-04-02,36-50
83.67,Online,ONLINE,Female,Kingman,AZ,17113,34895,56622,820,4,Credit,12400,Yes,2013-12-10,51-65
10.53,Swipe,Eastpointe,Male,Eastpointe,MI,18487,37686,41173,739,4,Credit,12400,No,2003-08-02,51-65
2.26,Online,ONLINE,Male,Seneca,PA,16237,33108,44044,829,2,Debit,24295,Yes,2007-04-26,36-50
11.16,Chip,Chino Hills,Female,North Hollywood,CA,16892,34441,907,725,4,Debit,46414,No,2017-04-07,36-50
97.68,Swipe,Niagara Falls,Female,Copiague,NY,21077,42976,58765,748,3,Debit,21968,No,2012-06-27,36-50
31.99,Swipe,Hudsonville,Female,Holland,MI,18877,38487,28032,773,4,Debit,46414,No,2018-01-19,26-35
55.28,Chip,Huntington,Male,Huntington,NY,51032,104049,247623,741,2,Debit,24295,No,2018-06-26,36-50
2.04,Swipe,Irvington,Female,Gulf Shores,AL,15553,31713,42895,646,1,Debit,24295,No,2012-10-25,51-65
20.4,Swipe,Thackerville,Male,Houston,TX,19554,39871,73726,719,4,Debit,21968,Yes,2006-01-31,36-50
53,Swipe,Campbell,Male,Campbell,TX,18934,38609,27463,740,3,Debit,46414,No,2005-01-31,36-50
54.62,Swipe,Alexandria,Female,Arlington,VA,47408,96661,73401,721,2,Debit,24295,Yes,2012-05-02,26-35
79.67,Online,ONLINE,Female,Colorado Springs,CO,22185,31942,11845,713,6,Credit,12400,Yes,2003-06-16,66+
96.2,Chip,Oswego,Male,Oswego,NY,20447,47993,3080,827,5,Credit,12400,No,2018-03-22,66+
-106,Online,ONLINE,Female,Mckinney,TX,24684,50329,76759,625,4,Debit,24295,Yes,2012-08-13,36-50
186.3,Online,ONLINE,Male,Wyoming,MI,18431,37579,59201,710,2,Debit,24295,No,2010-07-05,26-35
257.65,Online,ONLINE,Female,Minneapolis,MN,40364,82298,0,791,4,Debit,21968,Yes,2015-04-05,36-50
160.09,Online,ONLINE,Female,Mesquite,TX,18452,37623,923,726,6,Debit,620,Yes,2013-08-23,36-50
7.2,Swipe,Pascoag,Female,Pascoag,RI,24260,49464,123198,705,6,Debit,24295,No,2011-07-05,36-50
38.33,Chip,Grandville,Female,Wyoming,MI,18431,37583,51633,782,2,Debit,24295,Yes,2016-09-18,26-35
24.02,Online,ONLINE,Male,Naples,FL,17455,35590,92603,720,4,Credit,12400,No,2014-10-27,51-65
49.47,Chip,Kingston,Female,Schenectady,NY,30839,49569,58019,682,2,Debit,21968,No,2019-05-22,51-65
57.23,Swipe,Brewster,Female,Brewster,MA,19591,39947,57346,765,2,Debit,21968,No,2014-07-17,36-50
292.31,Online,ONLINE,Male,Rochelle,IL,18590,37898,36994,716,5,Debit,21968,Yes,2007-06-24,51-65
19.79,Online,ONLINE,Female,Mckinney,TX,24684,50329,76759,625,4,Debit,46414,Yes,2016-09-25,36-50
194.9,Online,ONLINE,Male,Novi,MI,34259,62103,33545,509,4,Debit,46414,Yes,2010-03-21,66+
63.12,Online,ONLINE,Male,Houston,TX,19554,39871,73726,719,4,Debit,21968,Yes,2013-08-17,36-50
81.4,Swipe,Suffolk,Female,Suffolk,VA,20353,41496,9222,807,2,Debit,21968,No,2014-02-11,36-50
158.16,Online,ONLINE,Male,Lewistown,PA,16375,33387,69066,526,3,Debit,21968,Yes,2009-02-14,36-50
0.05,Online,ONLINE,Male,Muskegon,MI,19131,30977,21507,796,5,Debit,21968,Yes,2010-05-13,66+
25.03,Online,ONLINE,Female,Gulfport,MS,19327,39409,52076,599,1,Debit,24295,Yes,2008-04-14,51-65
105.64,Online,ONLINE,Male,Oakdale,LA,16816,34287,77180,760,3,Debit,21968,Yes,2015-06-24,36-50
88.29,Online,ONLINE,Male,High Point,NC,24005,48944,79960,813,7,Debit,33375,Yes,2015-04-10,51-65
0.05,Swipe,Attica,Female,Fort Mill,SC,26707,51014,23366,759,4,Debit,21968,Yes,2007-02-23,66+
257.03,Swipe,Algiers,Male,Rockwall,TX,34659,70673,87605,714,4,Debit,46414,Yes,1999-03-09,51-65
120,Swipe,Ypsilanti,Female,Ypsilanti,MI,23487,47891,114299,629,1,Debit,24295,No,2016-02-12,26-35
97.62,Chip,Rome,Female,Albuquerque,NM,24485,40189,24169,621,1,Debit,24295,Yes,2018-09-20,66+
97.98,Online,ONLINE,Female,Dover,OH,18794,38318,93284,748,6,Credit,12400,Yes,2015-06-28,51-65
91.39,Swipe,Rome,Male,Summit Argo,IL,15221,31031,21853,744,7,Debit,24295,Yes,2019-02-01,36-50
338,Chip,Rome,Female,Elma,NY,24651,50258,0,686,3,Debit,21968,Yes,2018-09-12,66+
61.59,Swipe,Pottsboro,Female,Pottsboro,TX,20874,32669,1433,755,5,Debit,24295,No,2012-06-14,66+
16.96,Swipe,Bienville,Male,Bienville,LA,16760,34172,71366,811,6,Credit,12400,No,2009-01-07,66+
142.4,Chip,Sacramento,Female,Elk Grove,CA,25949,52908,109229,709,4,Debit,24295,Yes,2016-03-31,51-65
20.28,Chip,Rome,Female,Middleton,WI,33808,68930,72619,768,4,Debit,24295,Yes,2018-09-26,66+
94.64,Swipe,College Station,Female,Charleston,SC,41380,84365,113529,796,5,Debit,46414,No,2008-01-01,36-50
-93,Swipe,Hendersonville,Male,Hendersonville,NC,16410,33465,98713,669,3,Debit,21968,No,2011-10-14,51-65
-257,Online,ONLINE,Male,Indianapolis,IN,16045,32716,46919,593,3,Debit,46414,Yes,2012-02-23,51-65
45.53,Chip,Mokena,Male,Mokena,IL,32083,77961,39811,616,3,Debit,21968,No,2017-11-02,51-65
-67,Swipe,North Hollywood,Female,North Hollywood,CA,16892,34441,907,725,4,Debit,21968,No,2012-02-04,36-50
161.03,Online,ONLINE,Male,Columbia,MD,37697,76867,118029,659,1,Debit,24295,Yes,2010-04-02,26-35
16.98,Swipe,Appleton,Female,Appleton,WI,36825,75080,35268,747,3,Debit,46414,No,2007-06-26,36-50
178.76,Online,ONLINE,Female,Urbandale,IA,26764,33642,20874,593,5,Debit,21968,Yes,2011-01-12,66+
3.33,Online,ONLINE,Female,Lorton,VA,35062,71490,0,782,3,Debit,24295,Yes,2010-06-04,51-65
29.93,Swipe,Andrews,Female,Abilene,TX,16665,30399,19404,668,4,Debit,46414,No,2001-11-27,51-65
113.76,Online,ONLINE,Male,Latrobe,PA,19486,39733,79302,781,4,Debit,24295,Yes,2015-10-26,36-50
9.96,Swipe,Wellsville,Female,Harrisburg,PA,17110,34884,26799,705,5,Debit,46414,Yes,2012-06-28,26-35
262.39,Online,ONLINE,Male,Los Angeles,CA,12349,11566,9102,536,4,Debit,21968,Yes,2015-12-14,66+
29.57,Swipe,Vacaville,Male,Vacaville,CA,26137,33869,370,821,7,Debit,33375,No,2018-10-16,66+
8.33,Swipe,Brooklyn,Male,Brooklyn,NY,22456,45789,94014,695,4,Debit,24295,No,2013-09-27,36-50
182.33,Online,ONLINE,Male,Oceanside,CA,16894,34449,36540,686,3,Debit,24295,Yes,2013-10-26,36-50
4.58,Online,ONLINE,Female,Burke,VA,35563,87659,0,779,4,Debit,46414,Yes,2015-07-20,66+
30.71,Swipe,Olympia,Male,Olympia,WA,24044,49023,66148,583,5,Debit,46414,No,2010-06-16,36-50
15.8,Chip,Duarte,Female,La Grange,IL,34681,70711,100226,741,2,Debit,24295,No,2015-10-06,36-50
56.37,Online,ONLINE,Female,Aurora,CO,24849,45754,9066,718,4,Debit,24295,Yes,2016-07-03,66+
-222,Online,ONLINE,Male,Brooklyn,NY,23316,47542,2667,725,3,Debit,24295,Yes,2016-04-09,36-50
70.38,Swipe,Strasburg,Female,Tulsa,OK,46461,94733,0,707,5,Credit,12400,Yes,2014-01-13,36-50
87.28,Online,ONLINE,Female,Sterling,NE,17420,35519,111115,744,1,Debit,24295,Yes,2008-11-16,51-65
7.69,Swipe,Harrison,Male,Harrison,MI,11036,22505,27928,798,3,Debit,21968,No,2004-09-08,36-50
110.74,Swipe,Howe,Female,Van Buren,AR,17093,34854,40722,746,5,Debit,46414,Yes,2008-11-12,36-50
28.94,Swipe,Lake City,Female,Idlewild,MI,6201,12643,19299,645,1,Debit,24295,No,2011-10-26,36-50
30.43,Swipe,Anchorage,Female,Miami,FL,31625,64481,114394,627,5,Debit,46414,No,2009-07-09,51-65
92.46,Online,ONLINE,Female,Edgerton,WI,21348,43529,126175,797,6,Credit,12400,Yes,2013-10-25,36-50
48.45,Online,ONLINE,Female,Schenectady,NY,30839,49569,58019,682,2,Debit,21968,Yes,2008-03-23,51-65
7.35,Swipe,Chattanooga,Male,Chattanooga,TN,21988,44831,20906,705,3,Debit,21968,No,2009-02-20,36-50
85.56,Online,ONLINE,Male,Washington Court House,OH,16544,33729,0,763,4,Debit,46414,Yes,2010-02-25,51-65
56.13,Chip,Dallas,Male,Dallas,TX,12693,25883,44404,706,4,Debit,21968,No,2018-12-06,51-65
2.9,Chip,Rome,Male,Mesquite,TX,17810,36319,44737,730,4,Credit,12400,Yes,2019-04-20,36-50
10.59,Swipe,Cordova,Male,Cordova,TN,27474,56018,100163,739,2,Debit,24295,No,2010-06-16,26-35
176.94,Online,ONLINE,Female,Scottsdale,AZ,36300,74016,85204,702,2,Debit,21968,Yes,2010-10-28,36-50
9.42,Swipe,Louisville,Female,Louisville,OH,18936,38611,93255,755,5,Debit,46414,No,2014-07-03,36-50
71.34,Online,ONLINE,Male,Riverside,CA,18619,37963,102716,772,4,Debit,21968,Yes,2016-10-04,51-65
133.73,Swipe,Palo Alto,Male,San Francisco,CA,51692,65055,1676,736,6,Debit,620,Yes,2007-05-17,66+
223.89,Swipe,Kennesaw,Female,Acworth,GA,28862,58846,126806,746,3,Debit,46414,Yes,2007-09-07,51-65
175.41,Online,ONLINE,Male,Skiatook,OK,21234,43290,90238,690,4,Debit,24295,Yes,2015-10-11,36-50
18.72,Swipe,Round Lake,Male,Round Lake,IL,22578,46039,79738,672,4,Debit,24295,No,2009-02-09,36-50
2.12,Chip,Rome,Female,Roseville,CA,29367,59872,95927,752,4,Debit,21968,Yes,2019-10-10,26-35
245.63,Online,ONLINE,Female,Winston,GA,22613,46108,64994,635,1,Debit,24295,Yes,2016-08-11,36-50
9,Online,ONLINE,Male,Skokie,IL,21801,44452,12409,711,5,Debit,24295,Yes,2015-12-07,36-50
25.1,Swipe,Detroit,Female,Monroe,MI,19736,40246,74352,641,5,Debit,21968,No,2013-03-14,36-50
9.39,Swipe,Valparaiso,Female,Valparaiso,IN,25472,51938,97252,697,2,Debit,21968,No,2018-02-03,26-35
62.29,Chip,Lisle,Male,Waukesha,WI,27546,38809,19912,788,4,Credit,12400,No,2018-12-21,66+
84.39,Swipe,Fort Lauderdale,Male,Pompano Beach,FL,18266,40141,805,850,6,Debit,620,Yes,2006-01-17,66+
2.63,Swipe,Kingston,Male,Walnut Creek,CA,42234,86113,177353,713,6,Debit,620,No,2013-04-02,36-50
83.29,Swipe,Bronx,Male,Bronx,NY,12475,25434,45540,712,4,Debit,24295,No,2004-09-25,36-50
6.93,Swipe,Gridley,Male,Washington,IL,24926,37898,32994,517,2,Debit,24295,No,2008-02-03,66+
324.93,Online,ONLINE,Male,Minneapolis,MN,20662,42129,101742,758,4,Debit,24295,Yes,2007-10-21,51-65
44.7,Online,ONLINE,Male,High Point,NC,24005,48944,79960,813,7,Credit,12400,Yes,2016-10-11,51-65
26.08,Online,ONLINE,Male,Mountlake Terrace,WA,23668,48259,146774,721,3,Debit,46414,Yes,2008-07-28,51-65
350.27,Swipe,San Francisco,Female,San Francisco,CA,51692,88432,63075,694,6,Debit,21968,Yes,2008-01-11,66+
238.47,Swipe,Wixom,Female,Novi,MI,34259,31121,32768,619,5,Debit,24295,Yes,2007-09-05,51-65
14.95,Chip,Rome,Male,Pittsburgh,PA,30361,61904,125358,639,3,Debit,24295,Yes,2019-01-11,26-35
65,Swipe,Stamford,Female,Stamford,CT,37213,74753,1585,726,5,Debit,24295,No,2012-12-27,66+
0.05,Online,ONLINE,Female,Commerce City,CO,20522,41839,46226,761,4,Debit,24295,Yes,2016-09-15,26-35
11.98,Swipe,Severn,Female,Severn,MD,31075,63355,0,708,5,Debit,21968,No,2006-08-02,36-50
1.36,Swipe,Ben Lomond,Female,Edgerton,WI,21348,43529,126175,797,6,Debit,620,Yes,2001-07-14,36-50
62.17,Online,ONLINE,Female,Fall River Mills,CA,13723,27981,62926,717,3,Debit,46414,Yes,2012-02-16,51-65
62.28,Online,ONLINE,Male,Rancho Cucamonga,CA,24603,50163,97188,761,4,Debit,21968,Yes,2010-08-29,36-50
144.19,Online,ONLINE,Female,Laurel,MT,19625,40012,59472,849,4,Debit,21968,Yes,2016-10-02,36-50
70.16,Swipe,Medina,Female,Brunswick,OH,23559,48038,83238,704,6,Debit,46414,Yes,2008-06-13,36-50
141.21,Online,ONLINE,Female,Boulder,CO,31377,63974,131731,707,4,Debit,24295,Yes,2008-12-27,51-65
46.94,Swipe,Aurora,Female,Aurora,CO,24849,45754,9066,718,4,Debit,21968,No,2007-04-15,66+
48.11,Swipe,Indianapolis,Male,Indianapolis,IN,31114,63439,199706,786,2,Debit,24295,No,2008-02-17,51-65
13.87,Swipe,Belleville,Male,New York,NY,16494,23572,216,590,2,Debit,21968,No,2008-06-23,66+
60,Swipe,Fresno,Female,North Fork,CA,16643,33934,42945,622,3,Debit,46414,No,2014-02-26,26-35
2.8,Chip,Miami,Female,Miami,FL,21602,44046,57982,557,3,Debit,21968,No,2016-03-24,26-35
184.75,Online,ONLINE,Female,Hollywood,FL,19712,40194,107765,738,6,Debit,620,Yes,2013-08-16,51-65
101.86,Swipe,Chicago,Female,Chicago,IL,11951,24372,63295,793,4,Debit,21968,No,2011-03-02,36-50
0.05,Online,ONLINE,Male,Wichita,KS,22638,46160,87459,763,4,Credit,12400,Yes,2012-07-14,36-50
115.69,Online,ONLINE,Male,El Paso,TX,24608,50177,101323,681,4,Debit,21968,Yes,2016-10-16,26-35
140,Chip,Brooklyn,Female,Brooklyn,NY,19652,31317,4591,687,4,Debit,46414,No,2017-03-11,66+
98,Chip,Oklahoma City,Female,Oklahoma City,OK,14465,29496,49681,704,5,Debit,46414,No,2015-10-11,51-65
2.98,Swipe,Sutersville,Male,Russellton,PA,14798,30172,39959,653,2,Debit,24295,No,2009-03-25,26-35
71.04,Swipe,Fort Madison,Male,Burlington,IA,18076,36853,112139,834,5,Debit,21968,Yes,2012-05-09,36-50
2.99,Chip,Villas,Female,Williamstown,NJ,24911,50790,3547,726,4,Debit,21968,No,2018-07-28,36-50
61.03,Swipe,East Hampton,Male,East Hampton,NY,37846,80493,2027,610,5,Debit,46414,No,2007-05-19,66+
45.73,Chip,Chula Vista,Female,Chula Vista,CA,26957,54963,105623,675,4,Debit,21968,No,2017-06-28,51-65
24.57,Online,ONLINE,Female,Reisterstown,MD,33175,67643,0,714,6,Debit,21968,Yes,2009-06-27,36-50
-329,Swipe,Anchorage,Male,San Martin,CA,26188,44137,22392,626,2,Debit,24295,No,2013-02-16,66+
247.67,Online,ONLINE,Female,Sunnyvale,CA,45509,92785,122254,786,6,Debit,620,Yes,2012-08-02,51-65
33.67,Online,ONLINE,Female,Providence,RI,30403,61991,2151,758,4,Credit,12400,No,2015-09-14,51-65
77.54,Chip,Pinellas Park,Female,Kirkland,WA,49629,101193,124771,747,3,Debit,24295,No,2017-07-15,51-65
74.87,Online,ONLINE,Female,Gloucester,VA,21040,42900,111007,802,6,Debit,620,Yes,2009-11-27,51-65
22.4,Online,ONLINE,Male,Waianae,HI,17175,35016,54455,732,3,Debit,46414,Yes,2010-05-30,36-50
80,Swipe,Dadeville,Male,Auburn,AL,20782,42379,64124,550,1,Debit,24295,No,2014-02-21,36-50
307.64,Online,ONLINE,Female,Laurel,MT,19625,40012,59472,849,4,Debit,21968,Yes,2010-03-05,36-50
4.83,Swipe,Duluth,Female,Alpharetta,GA,0,1426,3154,680,3,Debit,46414,Yes,2008-05-22,36-50
-79,Chip,Muse,Female,Muse,PA,14320,29194,10895,703,2,Debit,21968,No,2020-02-24,36-50
238.86,Online,ONLINE,Female,Santa Barbara,CA,33097,35404,30887,575,3,Debit,24295,Yes,2013-12-16,51-65
55.19,Chip,Rome,Female,Lombard,IL,27741,56562,111495,712,4,Debit,24295,Yes,2019-07-09,36-50
9.31,Chip,Pomona,Female,Pleasantville,NJ,15157,30910,42507,749,4,Debit,21968,Yes,2016-04-21,36-50
2.68,Swipe,Meridian,Male,Jackson,MS,11061,22557,63019,699,5,Debit,21968,No,2005-06-07,51-65
13.43,Swipe,Ronda,Male,Lansing,NC,12630,25748,41455,738,3,Debit,21968,No,2013-10-15,36-50
153,Online,ONLINE,Male,Compton,CA,12849,26201,42551,655,1,Debit,24295,Yes,2008-01-11,26-35
13.14,Chip,Rome,Male,Franconia,NH,21159,43144,54157,628,3,Debit,21968,Yes,2018-12-24,36-50
18.81,Online,ONLINE,Male,Camarillo,CA,27544,56163,104767,671,1,Debit,24295,No,2014-11-13,36-50
6.93,Chip,Rome,Male,San Francisco,CA,51692,65055,1676,736,6,Debit,46414,Yes,2019-07-20,66+
205.1,Online,ONLINE,Male,Pinole,CA,25849,28210,22961,655,2,Debit,21968,Yes,2010-01-28,51-65
118.46,Swipe,Prairie Grove,Female,Memphis,TN,18759,38249,0,746,4,Debit,21968,Yes,2009-03-22,66+
24.46,Chip,Rome,Male,Dawsonville,GA,20581,41965,55700,724,2,Debit,21968,Yes,2018-06-29,36-50
109.46,Online,ONLINE,Male,Rockwall,TX,34659,70673,87605,714,4,Debit,24295,Yes,2007-12-21,51-65
15.26,Swipe,Nacogdoches,Male,Longview,TX,20531,41865,60911,676,4,Debit,24295,Yes,2009-01-31,51-65
10.4,Swipe,Detroit,Female,Detroit,MI,13820,22650,0,690,6,Debit,21968,No,2013-06-04,66+
71.48,Online,ONLINE,Male,Cleveland,OH,19524,41109,21486,698,2,Debit,24295,Yes,2016-07-07,66+
150.13,Online,ONLINE,Male,Portland,OR,33737,68787,171854,527,1,Debit,24295,Yes,2008-05-15,51-65
10.09,Swipe,Eastpointe,Male,Eastpointe,MI,18487,37686,41173,739,4,Debit,21968,No,2008-04-26,51-65
2.89,Swipe,Albuquerque,Female,Albuquerque,NM,14078,28704,103891,700,2,Debit,24295,No,2014-05-13,36-50
36.96,Swipe,Maywood,Female,Maywood,IL,15451,31505,59730,655,4,Credit,12400,No,2006-11-07,51-65
101.86,Chip,Dallas,Female,Dallas,TX,37234,75918,94579,759,2,Debit,21968,No,2018-07-14,36-50
129.98,Online,ONLINE,Female,South Gate,CA,14528,29621,0,730,3,Debit,24295,Yes,2016-08-14,36-50
65.49,Online,ONLINE,Female,Marietta,GA,30747,63502,24100,638,7,Debit,21968,Yes,2016-09-15,66+
5.29,Online,ONLINE,Female,Abilene,TX,16665,30399,19404,668,4,Credit,12400,Yes,2015-11-18,51-65
10.72,Chip,Rome,Female,Tampa,FL,28916,58959,109358,598,2,Debit,21968,Yes,2018-09-06,51-65
93.75,Chip,Levittown,Male,Levittown,NY,29337,59815,73325,573,2,Debit,24295,No,2019-06-12,51-65
40.22,Swipe,Brownsville,Male,Brownsville,TX,12684,25861,42050,607,3,Debit,24295,No,2012-03-21,36-50
357.78,Online,ONLINE,Male,Winder,GA,18171,37056,75730,753,4,Credit,12400,Yes,2010-07-16,36-50
120.69,Swipe,Tucson,Female,Tucson,AZ,30818,57732,2261,726,6,Debit,24295,No,2002-07-10,66+
10.95,Online,ONLINE,Female,Knoxville,TN,24801,44469,12777,733,5,Debit,21968,Yes,2016-04-24,66+
14.14,Chip,Rome,Male,Brownsville,TX,11140,22714,27227,702,3,Debit,24295,Yes,2019-02-16,51-65
266.12,Chip,Rome,Male,Amarillo,TX,18613,37947,49951,683,3,Debit,21968,Yes,2019-10-05,26-35
87.15,Online,ONLINE,Male,Thomson,GA,15755,32125,58712,733,2,Debit,21968,Yes,2010-02-02,26-35
7.08,Swipe,Whittier,Female,Whittier,CA,25242,51465,0,702,2,Debit,21968,No,2012-10-02,36-50
8.18,Swipe,Carpinteria,Male,Carpinteria,CA,21191,36724,16437,701,4,Credit,12400,No,2011-03-22,66+
41.95,Swipe,Claypool,Male,Claypool,IN,17969,27939,11243,841,5,Debit,21968,No,1999-08-11,66+
13.63,Swipe,Rincon,Male,Rincon,GA,23029,46954,69753,578,4,Debit,46414,No,2014-11-20,51-65
53.39,Online,ONLINE,Male,Saint Johnsbury,VT,18069,36843,52248,772,5,Debit,21968,No,2007-12-08,36-50
159.23,Online,ONLINE,Male,Newburgh,NY,22762,46408,0,847,7,Debit,46414,Yes,2009-05-11,36-50
-86,Swipe,Bristol,Male,Bristol,NH,18972,38681,113190,663,5,Debit,24295,No,2014-06-06,51-65
27.82,Chip,Rome,Female,Katy,TX,26422,53878,78143,779,4,Debit,21968,Yes,2019-05-31,51-65
94.9,Online,ONLINE,Male,Rochester,MN,23553,40696,15691,801,6,Debit,21968,Yes,2016-09-20,66+
49.09,Swipe,Los Angeles,Female,Los Angeles,CA,14553,29673,12950,788,3,Debit,21968,Yes,2006-08-17,51-65
9.26,Swipe,Dacula,Female,Dacula,GA,26767,57705,22475,684,3,Debit,46414,No,2006-11-22,66+
25.9,Swipe,Escondido,Female,Chula Vista,CA,26957,54963,105623,675,4,Debit,46414,Yes,2009-03-22,51-65
27.89,Online,ONLINE,Female,Lorain,OH,14880,30340,64661,552,3,Debit,21968,Yes,2008-09-04,36-50
0.05,Chip,Rome,Male,Gooding,ID,14925,30432,101847,624,1,Debit,24295,Yes,2018-04-20,36-50
96.62,Chip,Boulder,Male,Boulder,CO,33151,67589,0,734,3,Debit,21968,No,2018-03-08,26-35
2.9,Online,ONLINE,Female,Independence,MO,16224,33076,50117,721,3,Debit,21968,Yes,2015-05-13,26-35
6.31,Online,ONLINE,Male,Grand Forks,ND,23910,48750,117616,716,5,Debit,24295,Yes,2015-11-15,51-65
74.25,Chip,Rome,Male,Martinsburg,WV,18003,36711,84949,739,4,Debit,46414,Yes,2018-06-18,36-50
0.23,Online,ONLINE,Female,North Richland Hills,TX,26016,39003,10793,788,5,Credit,12400,Yes,2009-06-01,66+
10.45,Swipe,Lakewood,Male,Long Beach,CA,32079,50184,27778,732,4,Debit,21968,Yes,2006-03-21,66+
205,Swipe,Cleveland,Female,Hubbard,OH,18351,37415,66403,665,1,Debit,24295,No,2010-04-08,36-50
22.08,Swipe,Vero Beach,Male,Vero Beach,FL,17942,36583,56310,614,6,Debit,21968,No,2011-01-19,51-65
116.23,Chip,Rome,Female,North Fork,CA,16643,33934,42945,622,3,Debit,46414,Yes,2018-08-20,26-35
2.95,Swipe,Rigby,Male,Twin Falls,ID,16378,33395,57774,588,2,Debit,21968,No,2006-01-02,36-50
80.47,Online,ONLINE,Female,Monroe,MI,19736,40246,74352,641,5,Debit,46414,Yes,2007-11-14,36-50
15.06,Swipe,Bethpage,Male,Williston Park,NY,39705,80957,161166,683,6,Debit,24295,No,2012-12-19,51-65
9.24,Swipe,Merchantville,Female,Vincentown,NJ,28433,57975,34570,773,4,Debit,21968,No,2019-02-23,36-50
67,Swipe,Rockville Centre,Female,Rockville Centre,NY,48994,103294,39076,831,3,Debit,46414,No,2004-05-05,51-65
60.12,Swipe,Gonzales,Male,Gonzales,TX,15092,30774,51428,700,3,Debit,24295,Yes,2012-06-29,36-50
22.24,Swipe,Fort Lauderdale,Male,Miami,FL,23244,47395,41381,755,2,Debit,21968,No,2011-06-25,36-50
2.17,Swipe,Sturbridge,Female,Northborough,MA,39418,80371,108499,822,1,Debit,24295,Yes,2008-10-26,51-65
95,Swipe,Brooklyn,Female,Brooklyn,NY,19652,31317,4591,687,4,Debit,46414,No,2013-11-14,66+
63.83,Chip,San Antonio,Female,San Antonio,TX,17609,35906,69819,659,3,Debit,24295,No,2015-05-23,51-65
0.9,Online,ONLINE,Male,Woodway,TX,26061,53138,153374,606,4,Debit,46414,Yes,2010-02-08,36-50
227.67,Online,ONLINE,Female,Columbus,OH,18420,37558,72514,778,3,Debit,24295,Yes,2015-12-21,51-65
318.15,Swipe,Berkeley,Female,San Francisco,CA,51692,88432,63075,694,6,Credit,12400,Yes,2001-08-21,66+
85.98,Online,ONLINE,Female,Miami,FL,31625,64481,114394,627,5,Debit,24295,Yes,2014-02-02,51-65
64.67,Online,ONLINE,Male,Sacramento,CA,25431,51854,72162,737,2,Debit,24295,Yes,2014-03-09,36-50
215.99,Online,ONLINE,Male,Brownsville,TX,11140,22714,27227,702,3,Debit,21968,Yes,2016-01-06,51-65
111.48,Online,ONLINE,Female,Acworth,GA,28862,58846,126806,746,3,Debit,46414,Yes,2007-09-08,51-65
231,Online,ONLINE,Male,Bradenton,FL,17590,35868,48465,562,4,Debit,46414,Yes,2013-10-19,36-50
24.55,Swipe,David City,Female,David City,NE,16901,34460,43936,692,2,Debit,24295,No,2013-02-28,51-65
154.32,Online,ONLINE,Female,Chula Vista,CA,16942,34540,22641,793,5,Debit,21968,Yes,2008-11-13,51-65
-52,Swipe,El Paso,Male,El Paso,TX,24608,50177,101323,681,4,Debit,46414,No,2010-10-05,26-35
69.04,Online,ONLINE,Male,Lynwood,CA,13632,27795,72318,701,4,Debit,21968,Yes,2015-12-31,26-35
1050.41,Online,ONLINE,Male,Gonzales,TX,15092,10869,1820,820,2,Debit,24295,Yes,2015-07-05,66+
51.42,Chip,Lompoc,Male,Cayucos,CA,18740,38211,84427,665,2,Debit,24295,No,2018-11-16,36-50
1.86,Swipe,Independence,Female,Independence,MO,16224,33076,50117,721,3,Debit,21968,No,2010-03-01,26-35
